srcport,dstport,ip.hdr_len,ip.dsfield,ip.len,ip.flags.df,ip.flags.mf,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.hdr_len,tcp.flags.cwr,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,udp.srcport,udp.dstport,udp.length,pktlen_avg,pktlen_max,pktlen_min,eighth_Arrival_Time,interval_avg,interval_max,interval_min,avg_speed,avg_pkt_speed,sum_pkt_len,max_burst,pkt_len,interval,ip_direction,payload,dpi_result,pcap_name,app_name,sub-service,,app_id
"[2049, 443, 2049, 2049, 2049, 443, 443, 443]","[443, 2049, 443, 443, 443, 2049, 2049, 2049]",20,0x00000000,44,1,0,62,6,192.168.221.222,100.25.59.192,2049,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693189094,0.115780149,0.445449114,6.70E-05,4250.66698,9.870924773,10669,2680,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.0507349967956543, 0.1318669319152832, 6.699562072753906e-05, 0.04046797752380371, 0.14174604415893555, 0.4454491138458252, 0.0001289844512939453]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc0303ab4199d638c7336c16000b26d7d0a0027ee80982bfe3b5afee11cf82b1e73572204c7a3b63315e7fbd7bd5dfa364307cecfbc91d400fad58d45d5cb97f3cbe9fc0001e130113021303c02bc02ccca9c02fc030cca8c013c014009c009d002f0035010001950000001700150000126164782e6164732e76756e676c652e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000e000c02683208687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d00208fb56e8e29c8fa177ebbf934b2603a6b864e9f478ebb982e8aa7811090b15178002d00020101002b0009080304030303020301001500e700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,vungle,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2051, 2051, 443, 2051, 2051, 443, 443, 443]","[443, 443, 2051, 443, 443, 2051, 2051, 2051]",20,0x00000000,114,1,0,62,17,192.168.221.222,142.251.8.139,0,0,0,0,0,0,0,0,0,0,2051,443,94,100.375,155,52,1693188333,0.138682297,0.407737017,9.39E-05,827.1732438,8.240829328,11126,310,"[114, 155, 55, 155, 155, 60, 57, 52]","[0.00010895729064941406, 0.19406414031982422, 0.40773701667785645, 9.393692016601562e-05, 0.14387893676757812, 0.05065417289733887, 0.174238920211792]","[0, 0, 1, 0, 0, 1, 1, 1]",4acb14a75c9deb39a765f01335a12847ee5db2c261aadd0374ddedb8ae40c7ec89308379ffe881922ec12bae810729e33bb8d4f69376011ed44e87ab487dfbabc7a0403750cf695eee81c0dcf5b43259e6f04692a5684ccb14a75c9deb39a7637512f539dc68d3325a30ef7d35026766b3fca7077a8f413a73187b19c703d46e52ef3d35917c15bd14255183c00f598bad67deb2fee3e26d9404e4ef1dd958ecdce599181f04aed6a72cf0113b0f29925388a93404b02d3ced9aa8d95d007f3fde6f50536b2373989013aac59c4a6e3f08e14f9c06573836544f57cc110efbd51d85dc398ea1d16b786103150865534a55cb14a75c9deb39a7d3487aa16400050efd11e8d05a75134ffd3e64ccb68fdd62ad1942ad4328fb43347810161cc22b79d739d19e4f63c09b6c15d4c19a56075823e57ff7240e7baa988a15890b35f6a635a30a4055a544dcf684e1b09ffe72af189b8fe5787856ef34ebfb505605b002f2841fbbde465b2c73719cfc469c5fcb14a75c9deb39a7e7e49e8713bb56fca7bb2dbdb2705f23d51b924c1865295d9b2a36a6f367fb5000e6824c89e59255d1a07f5b5a7c58138cd10a536fc22708bd70898623a40ed5aa8de1b4e7beec11d9fcd14d4124e15c10b9efb81f49c5c1c104d9cdf551ad2e6f89a3437ae1b162b7ad8a7b1770c61b010a160a465c455a78d01f0e4412e4dd3bc093f5a23fd582,unknown_p2p_protocol,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2048, 443, 2048, 2048, 2048, 443, 443, 443]","[443, 2048, 443, 443, 443, 2048, 2048, 2048]",20,0x00000000,44,1,0,62,6,192.168.221.222,3.219.165.53,2048,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693189101,0.107154301,0.445432901,0.000120163,4592.842765,10.66552747,11991,1340,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.02061605453491211, 0.05069088935852051, 0.0001201629638671875, 0.010159015655517578, 0.18257594108581543, 0.4454329013824463, 0.04048514366149902]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc0303946cb4495db4007c4d0104027376b616cbe9467bbadbfb44b350a3a351e90ac1202cd56c3cd4964661c70340211d0d67a256360203c093fb1f3a0fb1962ffea2d0001e130113021303c02bc02ccca9c02fc030cca8c013c014009c009d002f0035010001950000001700150000126164782e6164732e76756e676c652e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000e000c02683208687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d0020b3db81966a4877026181ebbb14a7de2512c7d9a7379ae6f799bbb5d07129293d002d00020101002b000908030403030302030100150088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029005b00260020500b33dd08fe012eb5ce35ccce69069a75e7bc9d51d0912caa7893f30f6c14c06f7261d8003130910a6586b24dfc2d0f09f2d7f0544e65e77a8bc15832bfab286334a60a59777d9ba29046625b007ada7262,vungle,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2050, 443, 2050, 2050, 2050, 443, 443, 443]","[443, 2050, 443, 443, 443, 2050, 2050, 2050]",20,0x00000000,44,1,0,62,6,192.168.221.222,3.219.165.53,2050,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693189130,0.092520305,0.474941969,6.29E-05,5319.295658,12.3525008,12120,2680,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.010195016860961914, 0.020286083221435547, 6.29425048828125e-05, 0.010185003280639648, 0.13185501098632812, 0.4749419689178467, 0.00011610984802246094]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc030337b6054bc191100b56d2dace404d4bd50ca68a8dfc9260c306d8596b6c9705ae20a6e9520cbc4ffaab370fb45ba7bad28f5a887b8be9add737115c9b17d8a35361001e130113021303c02bc02ccca9c02fc030cca8c013c014009c009d002f0035010001950000001700150000126164782e6164732e76756e676c652e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000e000c02683208687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d0020aaa693c3ecd4c89ff29dbeea8e552e130d4026985dca9ba4cc2b0717c4e84346002d00020101002b000908030403030302030100150088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029005b0026002094b0254a70557737c9c4c544c280f0744972a7eabb6ba85534adebe9182a9c5a34711b9e00313040a6fdd135535442442447a0a1f4066041e0be6c2ef267f817b19530ad67401bb4f884f32a8e66c1d3a1cd,vungle,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2049, 443, 2049, 2049, 2049, 443, 443, 443]","[443, 2049, 443, 443, 443, 2049, 2049, 2049]",20,0x00000000,44,1,0,62,6,192.168.221.222,3.219.165.53,2049,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693189125,0.099725008,0.383865833,8.11E-05,4934.999425,11.46008575,13967,2680,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.04070401191711426, 0.030404090881347656, 8.106231689453125e-05, 0.030340909957885742, 0.21258211135864258, 0.3838658332824707, 9.703636169433594e-05]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc0303d23fa3818bb4ffdd0d659cfb739590daaa4be11c5ce5563592411b1b55ab3fba20c0efe12a96d1e45b7950586f14c1e0b105dfab3bfe521f5ca1a30ea8b3c09758001e130113021303c02bc02ccca9c02fc030cca8c013c014009c009d002f0035010001950000001700150000126164782e6164732e76756e676c652e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000e000c02683208687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d00204e85e86b9ab33a459d59f3d4038cc2c0a788afed10b2614e3b6e8a1551cd691e002d00020101002b000908030403030302030100150088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029005b002600202fbf9ce765d8393ceea396071b751b71a4045b8f2b2c555a6f5822b62b838a49be5c799d0031302ee76300bfd89015159e45871d69d278444d98901885d9113104a1ec1bde847bc50b0bbc5578800e886734,vungle,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2048, 443, 2048, 2048, 2048, 443, 443, 443]","[443, 2048, 443, 443, 443, 2048, 2048, 2048]",20,0x00000000,44,1,0,62,6,192.168.221.222,182.61.62.127,2048,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693189003,0.06360272,0.18209815,5.41E-05,7737.764316,17.96868346,8871,2680,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.01020193099975586, 0.12123703956604004, 5.412101745605469e-05, 0.09095191955566406, 0.04058694839477539, 0.1820981502532959, 8.893013000488281e-05]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc0303a12081c18f1bd64365cd087c265b6d217b06b00454354ca58e18b80f71e7989c20993db5101540641554fce901265e056e5b2156c7a8af77cedbab0f86e1360357001e130113021303c02bc02ccca9c02fc030cca8c013c014009c009d002f0035010001950000001c001a0000176e6577636c69656e742e6d61702e62616964752e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000e000c02683208687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d0020c8857cb4c2b2e0b1f9308156595e4cb6fbdabc5b9c7810eb91ab5e420143871d002d00020101002b0009080304030303020301001500e20000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,baidumap,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2050, 443, 2050, 2050, 2050, 443, 443, 443]","[443, 2050, 443, 443, 443, 2050, 2050, 2050]",20,0x00000000,44,1,0,62,6,192.168.221.222,173.194.174.95,2050,443,24,0,0,0,0,0,1,0,0,0,0,593.125,1340,40,1693189081,0.235837426,0.799011946,7.82E-05,2874.256032,4.845953268,12501,4020,"[44, 44, 40, 40, 557, 1340, 1340, 1340]","[0.020413875579833984, 0.7990119457244873, 7.82012939453125e-05, 0.6989428997039795, 0.1322009563446045, 0.0001010894775390625, 0.00011301040649414062]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc0303ad6f7daff7f3f10dcce0279e75a2ae0cb9a765cbb13ad6137fa3e72bc772478820bf2c701f91ce87607dcafcc7990fcc493d6563b734d52984ceb4a80fb054b20a0022130113021303c02bc02ccca9c02fc030cca8c009c00ac013c014009c009d002f003501000191000000180016000013706c61792e676f6f676c65617069732e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000b000908687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d0020b0ed98614bc907218066bba04972929cc41c6dd65c81181fd44c2cd6d4215074002d00020101002b0009080304030303020301001500e50000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,googleplay,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2050, 443, 2050, 2050, 2050, 443, 443, 443]","[443, 2050, 443, 443, 443, 2050, 2050, 2050]",20,0x00000000,44,1,0,62,6,192.168.221.222,142.251.8.154,2050,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693189142,0.047746113,0.192159176,0.000115871,10307.49568,23.93612929,7932,1340,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.020328998565673828, 0.02029895782470703, 0.00011587142944335938, 0.030387163162231445, 0.03044581413269043, 0.19215917587280273, 0.040486812591552734]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc0303c8d0a284ae5d128eabb9ebbd4a15ee04fd8aa6fde46b3a3484977f1cd9c48b9c2005ad1ff69215e11f1d23e3f9e083bd5196715996da03d172e2f96620f2aa25e10022130113021303c02bc02ccca9c02fc030cca8c009c00ac013c014009c009d002f00350100019100000020001e00001b676f6f676c656164732e672e646f75626c65636c69636b2e6e657400170000ff01000100000a00080006001d00170018000b00020100000500050100000000000d00140012040308040401050308050501080606010201003300260024001d0020ca04610f9bb80a5d7ba87270f90f896575bc5492eaf382ed23907e7c22999e6a002d00020101002b0009080304030303020301001500f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,googleadsense,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2048, 443, 2048, 2048, 2048, 443, 443, 443]","[443, 2048, 443, 443, 443, 2048, 2048, 2048]",20,0x00000000,44,1,0,62,6,192.168.221.222,52.71.41.23,2048,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693188746,0.105594158,0.526180029,6.29E-05,4660.701555,10.82310956,12266,2680,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.010282039642333984, 0.020313024520874023, 6.604194641113281e-05, 0.01017904281616211, 0.17207598686218262, 0.5261800289154053, 6.29425048828125e-05]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc03033e680c61663464889aeca7d9901cabf7b98e47879cf8267329306701c236a4af2047731eea2131ceee13c85593d698567ce7a958346c77f60c0863ea646cbff218001e130113021303c02bc02ccca9c02fc030cca8c013c014009c009d002f0035010001950000001700150000126164782e6164732e76756e676c652e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000e000c02683208687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d00200de3a5f2792f265cb01ce14ff16ba06514a131a86f63052101721d4e00dd6e6d002d00020101002b000908030403030302030100150088000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029005b00260020901616aafd39124fe7c6029ff1dec55c701dd5a272beee979985bc7556d381e303901649003130d0b69418e2a5c5c8d8fc47111d67270f39f7fcc18c822bb9de0a2e482fc35dcf373dfb6868784c17d4cd86,vungle,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
"[2052, 443, 2052, 2052, 2052, 443, 443, 443]","[443, 2052, 443, 443, 443, 2052, 2052, 2052]",20,0x00000000,44,1,0,62,6,192.168.221.222,203.74.140.136,2052,443,24,0,0,0,0,0,1,0,0,0,0,430.625,1340,40,1693188655,0.081082446,0.273413181,6.58E-05,6069.659711,14.09500078,9110,2680,"[44, 44, 40, 40, 557, 40, 1340, 1340]","[0.010335206985473633, 0.07103800773620605, 6.580352783203125e-05, 0.27341318130493164, 0.1721348762512207, 0.04051399230957031, 7.605552673339844e-05]","[0, 1, 0, 0, 0, 1, 1, 1]",1603010200010001fc0303b158ac834a55b9a52f78d7b87ca96b0ff76d21bbf7ba332050c0fa4b1148e2f82099505dece0f989203a41e537d092b6e492e57db035758c5ff62d7d30dd05e432001e130113021303c02bc02ccca9c02fc030cca8c013c014009c009d002f00350100019500000016001400001163646e2d6c622e76756e676c652e636f6d00170000ff01000100000a00080006001d00170018000b00020100002300000010000e000c02683208687474702f312e31000500050100000000000d00140012040308040401050308050501080606010201003300260024001d00201a9d6b69cc164608012f9f60656630b91f45cd9bafdaa47e35cbf87b307db363002d00020101002b0009080304030303020301001500e80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,vungle,wbd_wwx984233_IO_1xbet_1xbet_116_Android_BlockAll_T20230828.2.pcap,1xbet,116_Android_Block,,0
